group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Means,Par,100000000,,,55346750.0,ns,2
Means,Par,100000000,,,54484125.0,ns,2
Means,Par,100000000,,,54135625.0,ns,2
Means,Par,100000000,,,53899458.0,ns,2
Means,Par,100000000,,,54308042.0,ns,2
Means,ParSimd16,10000,,,1080458.0,ns,12
Means,ParSimd16,10000,,,2077667.0,ns,24
Means,ParSimd16,10000,,,2732375.0,ns,36
Means,ParSimd16,10000,,,4306750.0,ns,48
Means,ParSimd16,10000,,,4672041.0,ns,60
Means,ParSimd16,10000,,,6404000.0,ns,72
Means,ParSimd16,10000,,,6523750.0,ns,84
Means,ParSimd16,10000,,,7850750.0,ns,96
Means,ParSimd16,10000,,,9780417.0,ns,108
Means,ParSimd16,10000,,,10259084.0,ns,120
Means,ParSimd16,10000,,,11796292.0,ns,132
Means,ParSimd16,10000,,,11999209.0,ns,144
Means,ParSimd16,10000,,,13017708.0,ns,156
Means,ParSimd16,10000,,,14613333.0,ns,168
Means,ParSimd16,10000,,,14820916.0,ns,180
Means,ParSimd16,10000,,,16274500.0,ns,192
Means,ParSimd16,10000,,,17160583.0,ns,204
Means,ParSimd16,10000,,,17880375.0,ns,216
Means,ParSimd16,10000,,,18897750.0,ns,228
Means,ParSimd16,10000,,,19306125.0,ns,240
Means,ParSimd16,10000,,,21344708.0,ns,252
Means,ParSimd16,10000,,,23281750.0,ns,264
Means,ParSimd16,10000,,,23086417.0,ns,276
Means,ParSimd16,10000,,,25033625.0,ns,288
Means,ParSimd16,10000,,,26424292.0,ns,300
Means,ParSimd16,10000,,,26766917.0,ns,312
Means,ParSimd16,10000,,,28131209.0,ns,324
Means,ParSimd16,10000,,,28753000.0,ns,336
Means,ParSimd16,10000,,,29239958.0,ns,348
Means,ParSimd16,10000,,,31350208.0,ns,360
Means,ParSimd16,10000,,,30240042.0,ns,372
Means,ParSimd16,10000,,,32694500.0,ns,384
Means,ParSimd16,10000,,,32067666.0,ns,396
Means,ParSimd16,10000,,,33591792.0,ns,408
Means,ParSimd16,10000,,,35252584.0,ns,420
Means,ParSimd16,10000,,,37153083.0,ns,432
Means,ParSimd16,10000,,,37204583.0,ns,444
Means,ParSimd16,10000,,,38860333.0,ns,456
Means,ParSimd16,10000,,,39742750.0,ns,468
Means,ParSimd16,10000,,,40915958.0,ns,480
Means,ParSimd16,10000,,,39757834.0,ns,492
Means,ParSimd16,10000,,,40794375.0,ns,504
Means,ParSimd16,10000,,,43074166.0,ns,516
Means,ParSimd16,10000,,,44538750.0,ns,528
Means,ParSimd16,10000,,,44784542.0,ns,540
Means,ParSimd16,10000,,,44244084.0,ns,552
Means,ParSimd16,10000,,,45659625.0,ns,564
Means,ParSimd16,10000,,,47760291.0,ns,576
Means,ParSimd16,10000,,,49725459.0,ns,588
Means,ParSimd16,10000,,,51258959.0,ns,600
Means,ParSimd16,10000,,,51035834.0,ns,612
Means,ParSimd16,10000,,,54185500.0,ns,624
Means,ParSimd16,10000,,,54841791.0,ns,636
Means,ParSimd16,10000,,,54555833.0,ns,648
Means,ParSimd16,10000,,,53758875.0,ns,660
Means,ParSimd16,10000,,,53937625.0,ns,672
Means,ParSimd16,10000,,,55215041.0,ns,684
Means,ParSimd16,10000,,,58179959.0,ns,696
Means,ParSimd16,10000,,,61152667.0,ns,708
Means,ParSimd16,10000,,,62850166.0,ns,720
Means,ParSimd16,10000,,,63698333.0,ns,732
